Years_Experience,Salary
1.0,51483.57076505617
1.3103448275862069,51101.78194241994
1.6206896551724137,57824.64958705519
1.9310344827586208,64994.45962686771
2.2413793103448274,59001.64691948677
2.5517241379310347,61794.83245663341
2.8620689655172415,73654.68476719213
3.1724137931034484,72388.89778369559
3.4827586206896552,68997.45565653214
3.793103448275862,76850.73125241257
4.103448275862069,74613.94601869631
4.413793103448276,77395.48916318321
4.724137931034483,83727.05273714052
5.0344827586206895,75743.94360429721
5.344827586206897,79478.8591132969
5.655172413793103,88085.11407793306
5.9655172413793105,88625.49957074168
6.275862068965518,98053.99528366602
6.586206896551724,94735.74169135945
6.8965517241379315,95007.44701056494
7.206896551724138,112190.31281012502
7.517241379310345,106526.29091136043
7.827586206896552,110785.91688550859
8.137931034482758,106117.63837927755
8.448275862068966,113312.56913599478
8.758620689655173,119382.19915544588
9.068965517241379,115865.72176806089
9.379310344827587,126292.28319517666
9.689655172413794,124203.70310213012
10.0,128541.53125103362
